@@,itemlabel,item,startdate,enddate
+++,Claes Johan Sacklén,Q23040428,1812,1816
+++,Carl Johan Idman,Q23040503,1817,1820
+++,Otto Herman Lode,Q17384436,1820,1827
+++,Johan Gustaf Winter,,1827,1841
+++,Carl Wilhelm Trapp,Q11855023,1841,1853
+++,Axel Ludvig Born,Q20736658,1853,1856
+++,Alex Federley,,1853,1854
+++,Robert Trapp,Q11891043,1854,1856
+++,Frans Ivar Edelheim,Q20736666,1856,1858
+++,Wilhelm Blidberg,,1858,1861
+++,Carl Isak Björkman,,1862,1866
+++,Victor von Haartman,Q5392428,1866,1870
+++,August Florin,,1870,1875
+++,Gustaf Samuel von Troil,Q5411287,1875,1884
+++,Alfred Charpentier,Q23039688,1884,1897
+++,Theodor Wegelius,Q7781631,1898,1906
+++,Clas Herman von Collan,Q5399732,1907,1918
+++,Otto Stenroth,Q203799,1918,1923
+++,August Ramsay,Q6163504,1923,1924
+++,Risto Ryti,Q209435,1924,1943
+++,Jukka Rangell,Q728861,1943,1944
+++,Risto Ryti,Q209435,1944,1945
+++,Sakari Tuomioja,Q728501,1945,1955
+++,Rainer von Fieandt,Q824517,1955,1957
+++,Klaus Waris,Q11871974,1957,1967
+++,Mauno Koivisto,Q29021,1968,1982
+++,Ahti Karjalainen,Q402977,1982,1983
+++,Rolf Kullberg,Q11891151,1983,1992
+++,Sirkka Hämäläinen,Q2075884,1992,1998
+++,Matti Vanhala,Q11881731,1998,2004
+++,Erkki Liikanen,Q194058,2004,2018
->,Olli Rehn,Q294411,2018-07-12->2018,
